long,long,float,float,float,float,float,long,long,long,long,long,long,None,long
1,0,0,0,0,0,0,12,13,10,13,4,0,,0
2,0,612096,0,998400,19200,25861,14,15,494,15,4,0,,0
3,0,714810,0,987301,13924,19298,16,15,496,15,4,0,,0
4,0,557760,0,966720,23040,28800,17,18,497,18,4,0,,0
5,0,685440,-177,989760,11167,16362,19,20,463,20,4,0,,0
6,0,725045,0,1021195,13922,20298,21,22,454,22,4,0,,0
7,0,653065,0,897438,23773,29291,23,24,456,24,4,0,,0
8,0,561600,0,1002240,25920,31680,17,25,497,25,4,0,,0
9,0,614400,0,1094400,63744,72192,26,27,409,27,4,0,,0
10,0,710400,9216,864000,12603,20050,28,24,493,24,4,0,,0
11,0,644315,0,728689,14966,35446,29,13,499,13,4,0,,0
12,0,724087,0,667736,13785,46868,30,31,10,31,4,0,,0
13,0,648745,-389,618216,18900,54857,32,33,10,33,4,0,,0
14,0,759016.75,818.08544921875,987938.5625,26782,30720,16,15,496,15,4,0,,0
15,0,652489.5625,902.094787597656,999862,24000,31658,14,15,494,15,4,0,,0
16,0,666312.375,15687.8916015625,800207.6875,35975.20703125,43712.828125,34,35,406,35,2,0,,0
17,0,687233,2345,1011162,11068,14613,19,20,463,20,4,0,,0
18,0,664320,0,982080,6720,7680,14,15,494,15,4,0,,0
19,0,702610,0,1047894,14178,19057,36,37,36,37,4,0,,0
20,0,706944,0,901632,25344,29952,23,24,456,24,4,0,,0
21,0,748800,0,856704,24882,29952,28,24,493,24,4,0,,0
22,0,613629,8480,804810,26524,31670,34,35,406,35,2,0,,0
23,0,597504,6912,841728,19200,20736,34,35,406,35,2,0,,0
24,0,622848,5376,823296,20736,24576,34,35,406,35,2,0,,0
25,0,716234.125,5376,822528,10580,23040,38,39,470,39,4,0,,0
26,0,737280,0,807168,24576,39168,38,39,470,39,4,0,,0
27,0,612864,0,516864,35446,51722,40,39,407,39,4,0,,0
28,0,564790,0,604416,28996,65437,41,42,472,42,4,0,,0
29,0,561408,0,537600,18808,30171,40,43,407,43,4,0,,0
30,0,721019,0,547667,14890,22843,44,45,457,45,4,0,,0
31,0,671928,0,553804,29170,38597,46,45,473,45,4,0,,0
32,0,673462,0,510849,9846,21662,47,45,473,45,4,0,,0
33,0,704256,0,527616,12209,16542,48,45,457,45,4,0,,0
34,0,680017,767,579840,2035,3331,49,45,473,45,4,0,,0
35,0,707752,0,575461,11815,22449,50,45,473,45,4,0,,0
36,0,708480,0,610560,18024,31347,51,45,10,45,4,0,,0
37,0,753792,0,604800,23902,40359,51,52,10,52,4,0,,0
38,0,758650,0,584634,8612,11755,53,24,10,24,4,0,,0
39,0,596846,0,1131107,5486,8229,26,27,409,27,4,0,,0
40,0,601065,1663,986093,1279,2743,54,27,494,27,4,0,,0
41,0,630428,0,990672,4702,9012,55,27,469,27,4,0,,0
42,0,769336,0,520883,46080,59513,56,37,444,37,4,0,,0
43,0,749492,5148,525102,6962,10136,57,37,457,37,4,0,,0
44,0,631954,0,593793,9404,17241,427,45,422,45,2,0,,0
45,0,659431,0,688803,4310,24294,30,45,10,45,4,0,,0
46,0,747098,5369,504893,8271,14572,59,33,457,33,4,0,,0
47,0,811530,3835,516986,6564,11028,57,31,457,31,4,0,,0
48,0,737786,5369,475746,15360,20086,60,45,60,45,4,0,,0
49,0,731145,4123,475480,2253,5908,61,45,61,45,4,0,,0
50,0,674996,2027,912325,9058,12209,23,45,456,45,4,0,,0
51,0,594662,2913,919693,2363,3043,62,24,10,24,4,0,,0
52,0,592048,2553,916999,2255,3227,62,24,10,24,4,0,,0
53,0,645849,2301,529258,9452,14572,40,24,407,24,4,0,,0
54,0,115200,0,1094400,90585,95311,12,63,10,63,4,0,,0
55,0,598018,-1969,665698,9641,12497,64,13,10,13,4,0,,0
56,0,594410,6025,662270,3151,5120,65,66,10,66,4,0,,0
57,0,671928,0,1044710,11028,21662,67,66,10,66,4,0,,0
58,0,711814,0,734825,15360,48837,29,37,499,37,4,0,,0
59,0,171183,-7285,1114234,5908,8341,68,27,10,27,4,0,,0
60,0,162901,-8437,1115278,5393,8345,69,13,10,13,4,0,,0
61,0,670740,6341,614555,3771,5554,70,71,10,71,4,0,,0
62,0,724065,0,504713,9601,15360,59,13,457,13,4,0,,0
63,0,757837,6903,628974,7877,10634,72,52,10,52,4,0,,0
64,0,710172,0,1009426,5762,9058,21,45,454,45,4,0,,0
65,0,737462,1703,1009584,4436,8271,21,45,454,45,4,0,,0
66,0,722481,997,1003218,3151,7483,21,22,454,22,4,0,,0
67,0,728977,-241,1041188,6302,11422,21,22,454,22,4,0,,0
68,0,730223,0,977210,5514,8665,16,22,496,22,4,0,,0
69,0,716560,5441,1018703,1575,2757,74,15,74,15,4,0,,0
70,0,1180800,0,1180800,23237,33871,75,15,10,15,4,0,,0
71,0,698894,4051,994085,2253,3581,76,22,465,22,4,0,,0
72,0,673570,7565,858452,13785,20376,77,78,471,78,4,0,,0
73,0,644315,8437,857552,12209,18221,77,24,471,24,4,0,,0
74,0,685555,12694,877531,1611,3545,77,24,471,24,4,0,,0
75,0,690783,10071,842809,2757,4726,77,24,471,24,4,0,,0
76,0,650451,14574,874427,7089,11028,77,24,471,24,4,0,,0
77,0,593586,0,931236,15043,17814,79,24,578,24,3,0,,0
78,0,679959,4281,888284,8665,12209,23,13,456,13,4,0,,0
79,0,764679,4231,493268,4472,5372,80,24,10,24,3,0,,0
80,0,790075,3705,491014,8665,9846,81,13,10,13,4,0,,0
81,0,747840,3079,561222,4502,7706,82,37,444,37,4,0,,0
82,509,0,0,0,0,0,394,391,8,11,3,0,,0
83,469,0,0,0,0,0,85,86,10,11,5,0,,0
84,269,0,0,0,0,0,87,88,10,11,4,0,,0
85,269,358975,0,681600,19200,28800,89,90,89,90,4,0,,0
86,269,586091,-1609,533861,15830,52775,91,92,91,92,4,0,,0
87,269,598292,0,500111,14572,16542,93,94,10,11,4,0,,0
88,269,573113,1163,507341,13238,14966,93,94,10,11,4,0,,0
89,269,555446,0,514004,12031,13854,93,94,10,11,4,0,,0
90,269,538441,0,528000,11445,13785,93,94,10,11,4,0,,0
91,269,544563,0,550340,11059,13467,93,94,10,11,4,0,,0
92,269,571529,0,569001,19298,21662,93,94,10,11,4,0,,0
93,269,607785,0,573149,17723,20086,93,94,10,11,4,0,,0
94,269,624529,0,552270,13461,15754,93,94,10,11,4,0,,0
95,269,627440,0,524656,14966,17329,93,94,10,11,4,0,,0
96,269,613633,0,513918,14178,16935,93,95,10,11,4,0,,0
97,36,0,0,0,0,0,96,97,10,11,4,0,,0
98,36,557760,0,966720,23040,28800,98,99,10,11,4,0,,0
99,36,633600,0,623232,50688,64512,100,101,10,11,4,0,,0
179,429,0,0,0,0,0,175,176,10,11,4,0,,0
180,429,643357,0,980805,6765,7701,177,178,10,11,4,0,,0
181,429,-21633,0,-27989,10151,13391,179,180,10,11,3,0,,0
182,429,-9005,0,-13879,6302,6302,181,176,10,11,4,0,,0
183,429,253,0,-14012,4940,6515,181,176,10,11,4,0,,0
184,429,-12799,0,-539,7123,8415,182,183,10,11,4,0,,0
185,429,-28709,0,1289,7343,7735,184,183,10,11,4,0,,0
186,429,16378,-1897,-10841,6191,6740,185,186,10,11,4,0,,0
187,169,610565,0,501645,25994,39778,187,188,10,11,4,0,,0
188,169,681133,-3835,699542,31902,41354,189,188,10,11,4,0,,0
189,169,547200,0,566400,55138,72074,190,188,10,11,4,0,,0
190,169,499200,0,748800,40960,51594,191,188,10,11,4,0,,0
191,1,0,0,0,0,0,192,193,10,193,3,0,,0
192,1,629766,9971,524656,17723,29538,194,195,492,195,4,0,,0
193,1,701018,0,610025,21268,46334,196,197,477,197,3,0,,0
194,1,558384,875,673030,25994,32435,198,199,478,199,3,0,,0
195,1,773178,0,923518,63015,72468,200,201,420,201,2,0,,0
196,1,725621,9972,329828,33477,44505,202,203,482,203,4,0,,0
197,1,579883,0,428009,42535,54351,204,193,426,193,4,0,,0
198,1,751680,-5760,744960,40566,54720,205,206,495,206,4,0,,0
199,1,609989,-5851,350829,27175,44111,204,207,426,207,4,0,,0
200,1,567744,18816,244416,56448,75264,208,209,453,209,4,0,,0
201,1,627456,0,658176,24812,40704,210,201,449,201,3,0,,0
