long,long,flags,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,flags,flags,flags,flags,flags,flags,flags,flags,flags,flags,long,flags,flags,long,flags,None
1,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x5E99C6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
2,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x1A3855,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
3,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x536F,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
4,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x536F,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
5,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x536F,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
6,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x536F,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
7,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x536F,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
8,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x536F,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
9,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x585858,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
10,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
11,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
12,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
13,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
14,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
15,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x1E303E,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
16,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x1317,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
17,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x1E303E,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
18,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x1317,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
19,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x5E99C6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
20,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x1A3855,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
21,1,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0x536F,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0x0,
